source,station,comp,lat,lon,dist,max_amp,max_amp_anti,max_amp_causal,snr,snr_anticausal,snr_causal,noise,noise_anticausal,noise_causal
SVD,NO.B4059,ZZ,34.00987,-117.65063,52.11289062951462,2.113024279118638e-11,2.113024279118638e-11,1.4751822734666402e-11,2.6515891869507757,2.647407632094074,1.8547164125369047,8.730586697395304e-10,6.531212798038661e-10,5.793651997442705e-10
SVD,NO.B4060,ZZ,34.00731,-117.65053,52.163741486029565,1.7260636724742797e-11,1.7260636724742797e-11,7.840941464432476e-12,4.684159790834681,4.559262897703272,2.206415150882865,4.037105080521231e-10,3.09815436133661e-10,2.5883695610366924e-10
SVD,NO.B4061,ZZ,34.00491,-117.64701,51.903942699854845,3.2998394477214046e-11,3.2998394477214046e-11,1.0157018903670982e-11,7.251664681288511,6.490832011003575,2.6923821988685206,4.985410081762305e-10,4.159165108996306e-10,2.748755951234118e-10
SVD,NO.B4062,ZZ,34.00186,-117.64574,51.86501573380753,2.7786910857851295e-11,2.7786910857851295e-11,6.78102969429645e-12,11.484033317669434,8.988574975879684,6.219954007391004,2.650885767314688e-10,2.5290696048785227e-10,7.943565226214084e-11
SVD,NO.B4063,ZZ,33.99902,-117.64553,51.91835058710781,2.6648032464836182e-11,2.6648032464836182e-11,8.425348197436354e-12,10.632997053978295,8.40439442851535,6.8207276097175304,2.745710234025422e-10,2.594001622924628e-10,9.000445930598851e-11
SVD,NO.B4064,ZZ,33.99766,-117.64634,52.02632367085098,2.516774310341531e-11,2.516774310341531e-11,1.0588914995409963e-11,6.562388589211543,5.694964438848638,3.604898074063301,4.201721796770252e-10,3.6160063365664117e-10,2.139851450770775e-10
SVD,NO.B4065,ZZ,33.99396,-117.64552,52.050624649461724,2.5315825800044804e-11,2.5315825800044804e-11,8.497977357598951e-12,9.179604178150983,7.478453982621255,5.128741868604505,3.021434883348767e-10,2.769850212664674e-10,1.207061951068889e-10
SVD,NO.B4066,ZZ,33.99234,-117.64534,52.07834571344927,2.760787409068517e-11,2.760787409068517e-11,7.60302041847171e-12,10.894165553630568,8.798751312038865,5.240485110087886,2.776413786818388e-10,2.5673721300251287e-10,1.0569171498303243e-10
SVD,NO.B4067,ZZ,33.98776,-117.65055,52.67112219098593,2.4100536959591687e-11,2.4100536959591687e-11,2.2001574611666073e-11,3.510035147563982,3.3901575410947915,3.3606346190864245,7.522467198964338e-10,5.820247862525027e-10,4.765734736456409e-10
SVD,NO.B4068,ZZ,33.98559,-117.65055,52.73243953147853,1.9167978892109896e-11,1.9167978892109896e-11,1.7382158067672936e-11,2.071921731887996,2.08140483846216,1.86800867680603,1.0135583926657186e-9,7.540330323621256e-10,6.772996393398514e-10
SVD,NO.B4069,ZZ,33.98286,-117.64759,52.547143367650506,2.6822304368015876e-11,1.9762955266443174e-11,2.6822304368015876e-11,3.0567067927367684,2.252959640061171,3.0551409251228923,9.613631701506918e-10,7.181262128138718e-10,6.391509112813606e-10
SVD,NO.B4070,ZZ,33.98087,-117.64755,52.60218064873818,1.628855792142013e-11,1.628855792142013e-11,9.772821214917936e-12,4.29447882197261,4.0576508112496334,2.797583845476529,4.155444776076897e-10,3.2863227587379563e-10,2.5431877658611296e-10
SVD,NO.B4071,ZZ,33.97757,-117.65032,52.94748617630664,2.15072514883242e-11,2.15072514883242e-11,1.813038736557328e-11,2.901001360404875,2.849924012324968,2.503336958810771,8.122353586053915e-10,6.180436702978002e-10,5.270183102830991e-10
